iter	Logloss
0	0.5776642983
1	0.4654225738
2	0.4145915509
3	0.3610134363
4	0.3312742035
5	0.295997078
6	0.2768793552
7	0.259405171
8	0.2444945344
9	0.2307655114
10	0.2220298722
11	0.2173783796
12	0.2124559518
13	0.202792031
14	0.1948983955
15	0.190206218
16	0.186821185
17	0.1838218627
18	0.182727341
19	0.1811814262
20	0.1801618428
21	0.1786017675
22	0.1770851777
23	0.1751259834
24	0.1742019652
25	0.1736309784
26	0.1730407001
27	0.1719944323
28	0.1712923111
29	0.1706655941
30	0.1701150688
31	0.1689615399
32	0.1680462197
33	0.167239214
34	0.1663537216
35	0.1655172083
36	0.1650034361
37	0.1645802783
38	0.16397976
39	0.1637057256
40	0.1632751932
41	0.162985401
42	0.1627169883
43	0.1623776498
44	0.1620675467
45	0.1615489599
46	0.1613217814
47	0.1611753426
48	0.160970464
49	0.1606920855
50	0.1604931561
51	0.1602882097
52	0.1600642248
53	0.1595115812
54	0.1590183521
55	0.1587131538
56	0.1584009711
57	0.1581393187
58	0.1579253589
59	0.1576275306
60	0.1568974469
61	0.1567901011
62	0.1566863759
63	0.1563665054
64	0.156175895
65	0.1559165114
66	0.1557138431
67	0.1552451274
68	0.15496635
69	0.1548285144
70	0.1546353759
71	0.1542293359
72	0.1539275315
73	0.153578826
74	0.1532304296
75	0.1530940574
76	0.1529652905
77	0.1527939693
78	0.1525169884
79	0.1522429584
80	0.1520428979
81	0.1518703338
82	0.1515015985
83	0.1512054887
84	0.1509946698
85	0.1507315448
86	0.1505785664
87	0.1504456884
88	0.1502522991
89	0.1500955451
90	0.1497632064
91	0.1495067447
92	0.1493313347
93	0.1490788241
94	0.1489167064
95	0.1486918261
96	0.1484467322
97	0.1482945524
98	0.1481294879
99	0.1480375389
