iter	Passed	Remaining
0	18	1817
1	35	1746
2	44	1427
3	56	1364
4	68	1304
5	79	1247
6	92	1235
7	106	1227
8	119	1212
9	134	1207
10	147	1197
11	161	1181
12	174	1170
13	188	1158
14	202	1147
15	216	1136
16	230	1123
17	245	1117
18	258	1103
19	272	1089
20	286	1076
21	299	1062
22	315	1057
23	330	1046
24	340	1021
25	354	1008
26	368	996
27	382	982
28	397	972
29	411	959
30	424	945
31	439	933
32	453	920
33	467	908
34	481	893
35	494	879
36	508	866
37	522	852
38	537	840
39	551	827
40	565	813
41	578	799
42	592	785
43	606	772
44	620	758
45	633	744
46	647	730
47	661	717
48	675	703
49	689	689
50	703	676
51	717	662
52	731	649
53	745	635
54	759	621
55	773	607
56	788	594
57	802	580
58	815	567
59	829	553
60	843	539
61	857	525
62	870	511
63	885	497
64	899	484
65	913	470
66	929	457
67	943	444
68	957	430
69	971	416
70	986	402
71	1001	389
72	1014	375
73	1029	361
74	1044	348
75	1058	334
76	1072	320
77	1087	306
78	1102	292
79	1117	279
80	1128	264
81	1143	250
82	1158	237
83	1174	223
84	1189	209
85	1204	196
86	1219	182
87	1233	168
88	1248	154
89	1263	140
90	1279	126
91	1294	112
92	1309	98
93	1325	84
94	1342	70
95	1358	56
96	1373	42
97	1387	28
98	1402	14
99	1417	0
