iter	Passed	Remaining
0	58	58073
1	91	45619
2	110	36839
3	131	32857
4	153	30519
5	175	29074
6	198	28226
7	223	27653
8	245	27010
9	268	26569
10	291	26235
11	312	25759
12	333	25346
13	355	25035
14	377	24820
15	392	24113
16	421	24395
17	445	24330
18	469	24240
19	490	24040
20	511	23843
21	534	23744
22	556	23621
23	574	23381
24	597	23317
25	615	23071
26	640	23069
27	661	22949
28	685	22961
29	712	23036
30	735	22992
31	754	22818
32	774	22687
33	793	22558
34	819	22591
35	837	22432
36	864	22497
37	888	22489
38	908	22396
39	925	22202
40	948	22181
41	964	21992
42	982	21856
43	1007	21882
44	1027	21809
45	1050	21796
46	1077	21851
47	1103	21878
48	1126	21866
49	1151	21884
50	1171	21795
51	1194	21784
52	1218	21780
53	1240	21737
54	1265	21742
55	1286	21689
56	1303	21559
57	1322	21483
58	1344	21441
59	1367	21423
60	1388	21378
61	1410	21345
62	1432	21301
63	1452	21240
64	1476	21234
65	1494	21152
66	1519	21153
67	1542	21139
68	1563	21095
69	1584	21053
70	1609	21061
71	1631	21023
72	1654	21012
73	1678	20999
74	1703	21008
75	1737	21121
76	1764	21155
77	1787	21123
78	1816	21172
79	1840	21161
80	1866	21180
81	1887	21127
82	1912	21130
83	1934	21093
84	1956	21059
85	1979	21035
86	2003	21023
87	2030	21046
88	2049	20973
89	2067	20902
90	2086	20841
91	2100	20733
92	2122	20696
93	2139	20624
94	2161	20587
95	2179	20524
96	2194	20429
97	2213	20370
98	2227	20274
99	2247	20229
100	2264	20157
101	2280	20077
102	2295	19991
103	2312	19925
104	2327	19840
105	2343	19762
106	2356	19666
107	2369	19568
108	2382	19478
109	2400	19424
110	2416	19351
111	2430	19266
112	2444	19190
113	2459	19116
114	2474	19043
115	2491	18988
116	2514	18980
117	2538	18975
118	2560	18955
119	2592	19015
120	2616	19008
121	2632	18947
122	2647	18874
123	2663	18818
124	2685	18799
125	2702	18744
126	2716	18674
127	2732	18614
128	2756	18614
129	2793	18692
130	2812	18658
131	2826	18589
132	2841	18523
133	2856	18459
134	2872	18404
135	2891	18371
136	2906	18309
137	2930	18304
138	2961	18345
139	2987	18350
140	3013	18356
141	3035	18342
142	3053	18300
143	3076	18288
144	3099	18276
145	3121	18259
146	3145	18252
147	3161	18197
148	3175	18137
149	3194	18099
150	3209	18047
151	3226	18000
152	3240	17939
153	3260	17910
154	3280	17884
155	3302	17870
156	3343	17950
157	3370	17960
158	3401	17993
159	3451	18117
160	3465	18058
161	3478	17994
162	3491	17926
163	3507	17877
164	3526	17846
165	3543	17803
166	3556	17740
167	3578	17722
168	3596	17685
169	3612	17635
170	3632	17610
171	3649	17566
172	3665	17522
173	3680	17474
174	3702	17452
175	3725	17443
176	3750	17437
177	3770	17411
178	3821	17528
179	3849	17537
180	3877	17543
181	3894	17504
