previous_year_rating,education,department,region,gender,recruitment_channel,no_of_trainings,age,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
5.0,Master's & above,Sales & Marketing,region_7,Female,sourcing,1,35,8,Yes,No,49,No
5.0,Bachelor's,Operations,region_22,Male,other,1,30,4,No,No,60,No
3.0,Bachelor's,Sales & Marketing,region_19,Male,sourcing,1,34,7,No,No,50,No
1.0,Bachelor's,Sales & Marketing,region_23,Male,other,2,39,10,No,No,50,No
3.0,Bachelor's,Technology,region_26,Male,other,1,45,2,No,No,73,No
3.0,Bachelor's,Analytics,region_2,Male,sourcing,2,31,7,No,No,85,No
3.0,Bachelor's,Operations,region_20,Female,other,1,31,5,No,No,59,No
3.0,Master's & above,Operations,region_34,Male,sourcing,1,33,6,No,No,63,No
4.0,Bachelor's,Analytics,region_20,Male,other,1,28,5,No,No,83,No
5.0,Master's & above,Sales & Marketing,region_1,Male,sourcing,1,32,5,Yes,No,54,No
3.0,Bachelor's,Technology,region_23,Male,sourcing,1,30,1,No,No,77,No
5.0,Bachelor's,Sales & Marketing,region_7,Female,sourcing,1,35,3,Yes,No,50,Yes
5.0,Bachelor's,Sales & Marketing,region_4,Male,sourcing,1,49,5,Yes,No,49,No
3.0,Master's & above,Technology,region_29,Male,other,2,39,16,No,No,80,No
3.0,Master's & above,R&D,region_2,Male,sourcing,1,37,7,No,No,84,No
1.0,Bachelor's,Operations,region_7,Male,other,1,37,10,No,No,60,No
3.0,Bachelor's,Technology,region_2,Male,other,1,38,5,Yes,No,77,No
1.0,Bachelor's,Sales & Marketing,region_31,Male,other,1,34,4,No,No,51,No
5.0,Bachelor's,Sales & Marketing,region_31,Male,other,1,34,8,Yes,No,46,No
3.0,Bachelor's,Operations,region_15,Male,other,1,37,9,No,No,59,No
3.0,Bachelor's,Procurement,region_14,Male,other,1,35,7,No,No,75,No
4.0,Bachelor's,Operations,region_15,Male,sourcing,1,41,11,No,No,57,No
3.0,Bachelor's,Finance,region_11,Female,other,1,28,4,No,No,63,No
3.0,Bachelor's,Procurement,region_5,Male,other,1,27,1,No,No,70,No
5.0,Master's & above,Finance,region_22,Male,sourcing,2,39,7,No,No,59,No
5.0,Bachelor's,Technology,region_22,Male,other,1,27,3,Yes,No,83,No
5.0,Bachelor's,Procurement,region_26,Male,other,1,31,4,Yes,No,68,No
4.0,Bachelor's,Technology,region_26,Male,other,1,33,4,No,No,79,No
5.0,Bachelor's,Analytics,region_5,Male,other,1,29,3,Yes,No,80,No
3.0,Bachelor's,Sales & Marketing,region_4,Male,sourcing,1,26,1,No,No,44,No
5.0,Bachelor's,Procurement,region_15,Male,sourcing,1,37,10,Yes,No,72,No
1.0,Bachelor's,Finance,region_31,Male,other,2,26,2,No,No,61,No
1.0,Bachelor's,Sales & Marketing,region_7,Female,sourcing,1,24,2,No,No,48,No
4.0,Bachelor's,Operations,region_2,Male,sourcing,2,57,6,No,No,58,No
